,Номенклатура,КлассТовара
277,042356ce-5a07-11de-8bf7-00151716f9f5,Наименее продаваемый
278,04252930-54fc-11e0-8eca-001517c526f0,Наименее продаваемый
279,04252931-54fc-11e0-8eca-001517c526f0,Наименее продаваемый
280,04252932-54fc-11e0-8eca-001517c526f0,Наименее продаваемый
281,04252933-54fc-11e0-8eca-001517c526f0,Наименее продаваемый
282,04332a7d-d2d0-11dc-a663-00151716f9f5,Средне продаваемый
283,04351a9a-874f-11e0-bdeb-00155d030b07,Наименее продаваемый
284,04436846-9879-11e0-9e88-00155d030b07,Средне продаваемый
285,0443684f-9879-11e0-9e88-00155d030b07,Средне продаваемый
286,04436850-9879-11e0-9e88-00155d030b07,Средне продаваемый
287,04436851-9879-11e0-9e88-00155d030b07,Средне продаваемый
288,04436853-9879-11e0-9e88-00155d030b07,Наименее продаваемый
289,04436856-9879-11e0-9e88-00155d030b07,Наименее продаваемый
290,046ed43a-2a8a-11e0-b341-001517c526f0,Средне продаваемый
291,046ed43b-2a8a-11e0-b341-001517c526f0,Наименее продаваемый
292,048b66cb-a69c-11e0-a9ac-00155d030b07,Наиболее продаваемый
293,048b66cc-a69c-11e0-a9ac-00155d030b07,Средне продаваемый
294,048caae3-923e-11e0-bd68-00155d030b07,Средне продаваемый
295,048caae4-923e-11e0-bd68-00155d030b07,Наиболее продаваемый
296,048caae5-923e-11e0-bd68-00155d030b07,Средне продаваемый
297,048caae6-923e-11e0-bd68-00155d030b07,Средне продаваемый
298,048caae7-923e-11e0-bd68-00155d030b07,Средне продаваемый
299,048caae8-923e-11e0-bd68-00155d030b07,Наименее продаваемый
300,048caae9-923e-11e0-bd68-00155d030b07,Средне продаваемый
301,048caaea-923e-11e0-bd68-00155d030b07,Средне продаваемый
302,048caaeb-923e-11e0-bd68-00155d030b07,Средне продаваемый
303,048eb232-8aff-11df-b4cc-001517c526f0,Наименее продаваемый
304,048eb233-8aff-11df-b4cc-001517c526f0,Средне продаваемый
305,048eb234-8aff-11df-b4cc-001517c526f0,Средне продаваемый
306,049bc4bf-f4e5-11da-90f0-0002b3552d75,Средне продаваемый
307,049bc4c0-f4e5-11da-90f0-0002b3552d75,Средне продаваемый
308,049c1bf7-626f-11e1-b0ae-001517c526f0,Средне продаваемый
309,049c1bf8-626f-11e1-b0ae-001517c526f0,Средне продаваемый
310,049c1bf9-626f-11e1-b0ae-001517c526f0,Средне продаваемый
311,049c1bfa-626f-11e1-b0ae-001517c526f0,Наименее продаваемый
312,04b75ea6-714e-11e1-b97c-001517c526f0,Наименее продаваемый
313,04b75ea7-714e-11e1-b97c-001517c526f0,Наименее продаваемый
314,04b75ea8-714e-11e1-b97c-001517c526f0,Наименее продаваемый
315,04b75ea9-714e-11e1-b97c-001517c526f0,Наименее продаваемый
316,04b75eaa-714e-11e1-b97c-001517c526f0,Наименее продаваемый
317,04b75eab-714e-11e1-b97c-001517c526f0,Наименее продаваемый
318,04b75eac-714e-11e1-b97c-001517c526f0,Наименее продаваемый
319,04b9b9a3-5de6-11dd-9e2a-00151716f9f5,Наиболее продаваемый
320,04cc7b37-8427-11db-9e4d-00173147c81e,Наиболее продаваемый
321,04cc7b39-8427-11db-9e4d-00173147c81e,Наиболее продаваемый
